Left Hand
==============
     JOINT_WRIST)	X: 0.132157 Y: -0.065997 Z: 0.231071 141.425873 399.836609
     JOINT_CENTER)	X: 0.106514 Y: -0.034211 Z: 0.240872 143.230423 318.285034
     JOINT_THUMB_BASE)	X: 0.114126 Y: -0.071676 Z: 0.240886 104.030228 382.280640
     JOINT_THUMB_JT1)	X: 0.090429 Y: -0.046642 Z: 0.224891 83.334137 332.930969
     JOINT_THUMB_JT2)	X: 0.089542 Y: -0.025391 Z: 0.200317 58.535614 279.587982
     JOINT_THUMB_TIP)	X: 0.085099 Y: -0.006273 Z: 0.190831 50.484344 230.255753
     JOINT_INDEX_BASE)	X: 0.065617 Y: -0.020024 Z: 0.260311 96.220947 240.602295
     JOINT_INDEX_JT1)	X: 0.055409 Y: -0.029531 Z: 0.218581 58.817108 263.017731
     JOINT_INDEX_JT2)	X: 0.073477 Y: -0.040169 Z: 0.211918 75.615250 310.851318
     JOINT_INDEX_TIP)	X: 0.088713 Y: -0.042904 Z: 0.224582 98.825455 324.378143
     JOINT_MIDDLE_BASE)	X: 0.082092 Y: -0.003938 Z: 0.250207 144.928589 241.541122
     JOINT_MIDDLE_JT1)	X: 0.066840 Y: -0.014703 Z: 0.205986 105.973221 230.783081
     JOINT_MIDDLE_JT2)	X: 0.085619 Y: -0.034198 Z: 0.198827 106.236603 297.630341
     JOINT_MIDDLE_TIP)	X: 0.100028 Y: -0.039402 Z: 0.211684 122.556671 317.371918
     JOINT_RING_BASE)	X: 0.098423 Y: 0.005883 Z: 0.240831 184.625946 250.925568
     JOINT_RING_JT1)	X: 0.081315 Y: -0.002833 Z: 0.202355 165.567673 275.016479
     JOINT_RING_JT2)	X: 0.088834 Y: -0.022667 Z: 0.196516 178.880447 321.784088
     JOINT_RING_TIP)	X: 0.101195 Y: -0.032649 Z: 0.208664 192.934479 337.694946
     JOINT_PINKY_BASE)	X: 0.122198 Y: 0.011307 Z: 0.228105 230.257141 276.797852
     JOINT_PINKY_JT1)	X: 0.100813 Y: -0.005459 Z: 0.202994 202.574295 295.972107
     JOINT_PINKY_JT2)	X: 0.095587 Y: -0.021039 Z: 0.198640 215.214172 330.348419
     JOINT_PINKY_TIP)	X: 0.090976 Y: -0.034786 Z: 0.194799 229.860413 335.597412
Left Hand
==============
     JOINT_WRIST)	X: 0.128202 Y: -0.062526 Z: 0.229095 140.703552 388.229706
     JOINT_CENTER)	X: 0.104611 Y: -0.029742 Z: 0.240612 143.007568 295.815491
     JOINT_THUMB_BASE)	X: 0.110774 Y: -0.067471 Z: 0.240297 102.880981 370.946045
     JOINT_THUMB_JT1)	X: 0.086889 Y: -0.041609 Z: 0.225991 87.313965 307.057220
     JOINT_THUMB_JT2)	X: 0.081586 Y: -0.019526 Z: 0.202742 68.668472 250.848740
     JOINT_THUMB_TIP)	X: 0.075205 Y: -0.000232 Z: 0.194852 63.537933 200.771240
     JOINT_INDEX_BASE)	X: 0.065892 Y: -0.013922 Z: 0.263022 95.853531 218.134262
     JOINT_INDEX_JT1)	X: 0.052163 Y: -0.023191 Z: 0.222259 68.802612 234.585297
     JOINT_INDEX_JT2)	X: 0.060453 Y: -0.033943 Z: 0.204948 84.248444 282.818237
     JOINT_INDEX_TIP)	X: 0.078606 Y: -0.042258 Z: 0.206097 102.573944 299.040771
     JOINT_MIDDLE_BASE)	X: 0.082142 Y: 0.001481 Z: 0.251580 145.836578 220.061783
     JOINT_MIDDLE_JT1)	X: 0.065040 Y: -0.010683 Z: 0.208411 119.573273 203.010498
     JOINT_MIDDLE_JT2)	X: 0.082479 Y: -0.030909 Z: 0.199998 119.177078 268.445068
     JOINT_MIDDLE_TIP)	X: 0.097616 Y: -0.036596 Z: 0.211767 130.031784 290.685303
     JOINT_RING_BASE)	X: 0.098067 Y: 0.010632 Z: 0.240917 185.708923 230.027512
     JOINT_RING_JT1)	X: 0.078153 Y: 0.001604 Z: 0.203891 176.800034 248.213791
     JOINT_RING_JT2)	X: 0.084857 Y: -0.018567 Z: 0.198218 188.014404 294.526825
     JOINT_RING_TIP)	X: 0.097745 Y: -0.028469 Z: 0.209874 197.253189 312.559631
     JOINT_PINKY_BASE)	X: 0.120986 Y: 0.015092 Z: 0.226375 230.575470 255.907043
     JOINT_PINKY_JT1)	X: 0.097119 Y: -0.000939 Z: 0.203085 211.438171 269.814941
     JOINT_PINKY_JT2)	X: 0.087148 Y: -0.011339 Z: 0.194062 222.537567 303.623077
     JOINT_PINKY_TIP)	X: 0.082468 Y: -0.025370 Z: 0.191569 233.497147 310.648804
Left Hand
==============
     JOINT_WRIST)	X: 0.120286 Y: -0.028522 Z: 0.225991 159.199936 327.668762
     JOINT_CENTER)	X: 0.101729 Y: 0.004170 Z: 0.244723 163.395111 248.272552
     JOINT_THUMB_BASE)	X: 0.107364 Y: -0.033556 Z: 0.242158 121.558640 310.236145
     JOINT_THUMB_JT1)	X: 0.080220 Y: -0.007577 Z: 0.236476 112.506790 248.490738
     JOINT_THUMB_JT2)	X: 0.070528 Y: 0.013796 Z: 0.213993 99.663391 185.310760
     JOINT_THUMB_TIP)	X: 0.063416 Y: 0.033108 Z: 0.206803 97.543137 135.350830
     JOINT_INDEX_BASE)	X: 0.072299 Y: 0.019811 Z: 0.278499 119.100693 173.649063
     JOINT_INDEX_JT1)	X: 0.046184 Y: 0.010872 Z: 0.244234 99.970459 170.736023
     JOINT_INDEX_JT2)	X: 0.061120 Y: -0.000178 Z: 0.232453 112.898315 218.195999
     JOINT_INDEX_TIP)	X: 0.079634 Y: -0.002675 Z: 0.239595 127.034286 242.421768
     JOINT_MIDDLE_BASE)	X: 0.084056 Y: 0.035305 Z: 0.262563 167.200027 176.262146
     JOINT_MIDDLE_JT1)	X: 0.054410 Y: 0.023033 Z: 0.226862 150.108551 139.989929
     JOINT_MIDDLE_JT2)	X: 0.069830 Y: 0.003121 Z: 0.214625 148.825775 200.240601
     JOINT_MIDDLE_TIP)	X: 0.087800 Y: -0.001582 Z: 0.222040 155.696167 230.051529
     JOINT_RING_BASE)	X: 0.095738 Y: 0.044541 Z: 0.247421 205.409119 186.241989
     JOINT_RING_JT1)	X: 0.067247 Y: 0.031407 Z: 0.218013 202.813583 186.148270
     JOINT_RING_JT2)	X: 0.066619 Y: 0.012384 Z: 0.206981 212.509735 232.339386
     JOINT_RING_TIP)	X: 0.080652 Y: -0.001502 Z: 0.210184 218.749146 257.516937
     JOINT_PINKY_BASE)	X: 0.112786 Y: 0.049116 Z: 0.226324 248.479706 211.333282
     JOINT_PINKY_JT1)	X: 0.082662 Y: 0.033276 Z: 0.211810 234.887360 209.835846
     JOINT_PINKY_JT2)	X: 0.074052 Y: 0.018881 Z: 0.209044 245.081970 243.654800
     JOINT_PINKY_TIP)	X: 0.066454 Y: 0.006179 Z: 0.206604 253.785400 256.499298
Left Hand
==============
     JOINT_WRIST)	X: 0.084871 Y: -0.062743 Z: 0.239155 144.964020 387.044952
     JOINT_CENTER)	X: 0.092063 Y: -0.021408 Z: 0.241076 163.629837 300.455322
     JOINT_THUMB_BASE)	X: 0.078960 Y: -0.053415 Z: 0.257368 108.206268 362.001892
     JOINT_THUMB_JT1)	X: 0.066329 Y: -0.020410 Z: 0.243401 87.665253 302.542114
     JOINT_THUMB_JT2)	X: 0.058739 Y: -0.006699 Z: 0.214928 53.996857 234.140869
     JOINT_THUMB_TIP)	X: 0.058580 Y: 0.009229 Z: 0.200045 46.904602 186.149872
     JOINT_INDEX_BASE)	X: 0.089248 Y: 0.018808 Z: 0.266104 120.842209 216.267090
     JOINT_INDEX_JT1)	X: 0.099440 Y: 0.061302 Z: 0.260966 119.817917 129.217453
     JOINT_INDEX_JT2)	X: 0.079168 Y: 0.063579 Z: 0.252727 111.122849 97.724274
     JOINT_INDEX_TIP)	X: 0.060740 Y: 0.065649 Z: 0.245238 103.076218 111.340332
     JOINT_MIDDLE_BASE)	X: 0.098912 Y: 0.017959 Z: 0.242906 172.738907 222.427261
     JOINT_MIDDLE_JT1)	X: 0.085743 Y: 0.062876 Z: 0.232276 174.460388 128.828369
     JOINT_MIDDLE_JT2)	X: 0.076989 Y: 0.088646 Z: 0.225697 173.107895 71.834579
     JOINT_MIDDLE_TIP)	X: 0.058707 Y: 0.091348 Z: 0.218051 169.179199 55.065430
     JOINT_RING_BASE)	X: 0.106096 Y: 0.012805 Z: 0.223596 212.815216 235.874207
     JOINT_RING_JT1)	X: 0.086355 Y: 0.050999 Z: 0.224275 199.627487 152.855362
     JOINT_RING_JT2)	X: 0.076254 Y: 0.070540 Z: 0.224622 192.382996 107.250153
     JOINT_RING_TIP)	X: 0.058078 Y: 0.072548 Z: 0.216522 185.714249 64.602142
     JOINT_PINKY_BASE)	X: 0.113083 Y: -0.000948 Z: 0.200821 256.171997 265.697205
     JOINT_PINKY_JT1)	X: 0.076094 Y: -0.000114 Z: 0.201258 266.278107 200.243103
     JOINT_PINKY_JT2)	X: 0.059100 Y: 0.000270 Z: 0.201458 270.750916 189.800583
     JOINT_PINKY_TIP)	X: 0.044230 Y: -0.000936 Z: 0.203014 269.291809 209.021439
Left Hand
==============
     JOINT_WRIST)	X: 0.083665 Y: -0.063259 Z: 0.232861 159.675156 360.005493
     JOINT_CENTER)	X: 0.074136 Y: -0.022432 Z: 0.235382 185.234680 283.959900
     JOINT_THUMB_BASE)	X: 0.099570 Y: -0.049981 Z: 0.227920 122.088699 354.676392
     JOINT_THUMB_JT1)	X: 0.114025 Y: -0.014886 Z: 0.226080 110.738419 269.113617
     JOINT_THUMB_JT2)	X: 0.125290 Y: 0.012229 Z: 0.212147 91.303345 200.103271
     JOINT_THUMB_TIP)	X: 0.127207 Y: 0.033607 Z: 0.208334 96.147903 143.634460
     JOINT_INDEX_BASE)	X: 0.088383 Y: 0.022583 Z: 0.230659 152.516785 197.999268
     JOINT_INDEX_JT1)	X: 0.084399 Y: 0.065813 Z: 0.223494 162.833328 114.572403
     JOINT_INDEX_JT2)	X: 0.082407 Y: 0.087428 Z: 0.219911 157.876785 91.309219
     JOINT_INDEX_TIP)	X: 0.080596 Y: 0.107077 Z: 0.216654 152.469604 66.070526
     JOINT_MIDDLE_BASE)	X: 0.065061 Y: 0.016451 Z: 0.237783 201.924133 208.490433
     JOINT_MIDDLE_JT1)	X: 0.055791 Y: 0.063121 Z: 0.231464 211.580963 114.961403
     JOINT_MIDDLE_JT2)	X: 0.050383 Y: 0.090346 Z: 0.227777 217.445374 58.162796
     JOINT_MIDDLE_TIP)	X: 0.046520 Y: 0.109792 Z: 0.225144 218.228668 27.145370
     JOINT_RING_BASE)	X: 0.046883 Y: 0.007001 Z: 0.243378 239.690826 225.034775
     JOINT_RING_JT1)	X: 0.045437 Y: 0.049273 Z: 0.235633 240.512726 141.807098
     JOINT_RING_JT2)	X: 0.044697 Y: 0.070901 Z: 0.231671 241.214417 96.940811
     JOINT_RING_TIP)	X: 0.044024 Y: 0.090563 Z: 0.228069 242.220474 54.123444
     JOINT_PINKY_BASE)	X: 0.027574 Y: -0.011642 Z: 0.249398 280.027466 258.210999
     JOINT_PINKY_JT1)	X: 0.013712 Y: 0.022602 Z: 0.247338 304.208496 200.167053
     JOINT_PINKY_JT2)	X: 0.007343 Y: 0.038335 Z: 0.246391 315.398193 177.960388
     JOINT_PINKY_TIP)	X: 0.007608 Y: 0.047271 Z: 0.258436 316.885101 178.880157
Left Hand
==============
     JOINT_WRIST)	X: 0.049278 Y: -0.073474 Z: 0.254074 241.491516 375.118530
     JOINT_CENTER)	X: 0.049577 Y: -0.031642 Z: 0.250335 238.780762 299.841644
     JOINT_THUMB_BASE)	X: 0.068351 Y: -0.064942 Z: 0.249936 204.529633 363.093781
     JOINT_THUMB_JT1)	X: 0.102345 Y: -0.048209 Z: 0.247044 138.740097 331.827515
     JOINT_THUMB_JT2)	X: 0.125581 Y: -0.035607 Z: 0.265953 123.166245 310.553162
     JOINT_THUMB_TIP)	X: 0.140414 Y: -0.020762 Z: 0.271855 98.274765 284.072021
     JOINT_INDEX_BASE)	X: 0.074622 Y: 0.007874 Z: 0.242407 186.841309 227.040009
     JOINT_INDEX_JT1)	X: 0.067017 Y: 0.050006 Z: 0.232256 196.728302 144.584610
     JOINT_INDEX_JT2)	X: 0.063214 Y: 0.071072 Z: 0.227180 200.337463 110.909256
     JOINT_INDEX_TIP)	X: 0.059757 Y: 0.090223 Z: 0.222566 204.104401 75.761795
     JOINT_MIDDLE_BASE)	X: 0.049861 Y: 0.008198 Z: 0.246774 236.113495 225.772064
     JOINT_MIDDLE_JT1)	X: 0.046031 Y: 0.054966 Z: 0.236671 239.958160 133.418671
     JOINT_MIDDLE_JT2)	X: 0.043797 Y: 0.082248 Z: 0.230778 242.349609 76.936478
     JOINT_MIDDLE_TIP)	X: 0.042202 Y: 0.101735 Z: 0.226568 246.053543 36.915039
     JOINT_RING_BASE)	X: 0.029439 Y: 0.003957 Z: 0.250773 275.044617 233.102783
     JOINT_RING_JT1)	X: 0.024445 Y: 0.045386 Z: 0.240397 282.488495 152.970078
